customerID,tenure,Contract,PaperlessBilling,PaymentMethod
4445-ZJNMU,9,Month-to-month,Yes,Credit card (automatic)
4808-YNLEU,35,One year,Yes,Bank transfer (automatic)
1862-QRWPE,48,Two year,No,Bank transfer (automatic)
2796-NNUFI,46,Two year,Yes,Mailed check
3016-KSVCP,29,Month-to-month,No,Mailed check
4767-HZZHQ,30,Month-to-month,No,Bank transfer (automatic)
2424-WVHPL,1,Month-to-month,No,Electronic check
7233-PAHHL,66,Two year,Yes,Mailed check
6067-NGCEU,65,Month-to-month,Yes,Credit card (automatic)
9848-JQJTX,72,Two year,Yes,Bank transfer (automatic)
8637-XJIVR,12,Month-to-month,Yes,Electronic check
9803-FTJCG,71,One year,Yes,Credit card (automatic)
0278-YXOOG,5,Month-to-month,No,Mailed check
3212-KXOCR,52,Two year,No,Bank transfer (automatic)
4598-XLKNJ,25,Month-to-month,Yes,Electronic check
6380-ARCEH,1,Month-to-month,No,Mailed check
3679-XASPY,1,Month-to-month,No,Electronic check
7123-WQUHX,38,One year,No,Bank transfer (automatic)
5386-THSLQ,66,One year,No,Bank transfer (automatic)
3192-NQECA,68,Two year,Yes,Bank transfer (automatic)
6180-YBIQI,5,Month-to-month,No,Mailed check
6728-DKUCO,72,One year,Yes,Electronic check
9750-BOOHV,32,One year,No,Mailed check
8597-CWYHH,43,One year,No,Mailed check
2848-YXSMW,72,Two year,No,Credit card (automatic)
0486-HECZI,55,Month-to-month,Yes,Electronic check
4549-ZDQYY,52,One year,No,Credit card (automatic)
5712-AHQNN,43,Month-to-month,Yes,Electronic check
4846-WHAFZ,37,Month-to-month,Yes,Electronic check
5256-SKJGO,64,Two year,Yes,Electronic check
3071-VBYPO,3,Month-to-month,No,Electronic check
9560-BBZXK,36,Two year,No,Bank transfer (automatic)
5299-RULOA,10,Month-to-month,Yes,Electronic check
8402-OOOHJ,41,Two year,No,Mailed check
9445-ZUEQE,27,Month-to-month,Yes,Credit card (automatic)
1091-SOZGA,56,One year,Yes,Credit card (automatic)
2928-HLDBA,6,Month-to-month,No,Mailed check
0404-SWRVG,3,Month-to-month,Yes,Electronic check
6497-TILVL,7,Month-to-month,No,Mailed check
7219-TLZHO,4,Month-to-month,No,Mailed check
4622-YNKIJ,33,Two year,Yes,Electronic check
4412-YLTKF,27,Month-to-month,Yes,Electronic check
6734-PSBAW,72,Two year,Yes,Bank transfer (automatic)
3930-ZGWVE,1,Month-to-month,No,Mailed check
2639-UGMAZ,71,One year,Yes,Electronic check
2876-GZYZC,13,Month-to-month,Yes,Electronic check
6207-WIOLX,25,Month-to-month,Yes,Credit card (automatic)
8587-XYZSF,67,Two year,No,Bank transfer (automatic)
3091-FYHKI,1,Month-to-month,Yes,Electronic check
2372-HWUHI,2,Month-to-month,No,Electronic check
7799-LGRDP,43,Two year,Yes,Credit card (automatic)
7850-VWJUU,23,Month-to-month,Yes,Bank transfer (automatic)
3774-VBNXY,64,Two year,No,Mailed check
6217-KDYWC,57,Two year,Yes,Mailed check
0390-DCFDQ,1,Month-to-month,Yes,Mailed check
3146-MSEGF,72,Two year,Yes,Credit card (automatic)
4080-OGPJL,8,Month-to-month,No,Electronic check
1095-WGNGG,61,Two year,Yes,Bank transfer (automatic)
2636-SJDOU,64,One year,Yes,Credit card (automatic)
1131-QQZEB,71,Two year,No,Bank transfer (automatic)
5716-EZXZN,65,Two year,Yes,Credit card (automatic)
6837-BJYDQ,3,One year,No,Mailed check
2135-RXIHG,1,Month-to-month,Yes,Electronic check
6440-DKQGE,30,One year,No,Credit card (automatic)
3466-BYAVD,15,Month-to-month,Yes,Mailed check
3780-YVMFA,8,Month-to-month,Yes,Electronic check
3874-EQOEP,7,Month-to-month,No,Mailed check
1679-JRFBR,70,One year,Yes,Credit card (automatic)
9073-ZZIAY,62,Two year,No,Electronic check
3077-RSNTJ,6,Month-to-month,No,Mailed check
6551-GNYDG,14,Month-to-month,Yes,Bank transfer (automatic)
9167-APMXZ,22,Month-to-month,Yes,Bank transfer (automatic)
2749-CTKAJ,22,One year,No,Mailed check
6371-NZYEG,16,Two year,No,Mailed check
7554-NEWDD,10,Two year,No,Bank transfer (automatic)
8992-VONJD,13,Month-to-month,Yes,Electronic check
0867-MKZVY,20,Month-to-month,No,Electronic check
4482-EWFMI,2,Month-to-month,Yes,Electronic check
4648-YPBTM,53,Two year,Yes,Bank transfer (automatic)
2907-ILJBN,11,One year,No,Mailed check
6345-FZOQH,69,Two year,No,Mailed check
3376-BMGFE,4,Month-to-month,Yes,Bank transfer (automatic)
5997-OPVFA,72,Two year,Yes,Bank transfer (automatic)
3445-HXXGF,58,Month-to-month,Yes,Electronic check
1159-WFSGR,16,Month-to-month,No,Electronic check
7654-YWJUF,43,One year,Yes,Bank transfer (automatic)
1875-QIVME,2,Month-to-month,Yes,Electronic check
6727-IOTLZ,14,Two year,No,Mailed check
0691-JVSYA,53,One year,Yes,Bank transfer (automatic)
5918-VUKWP,32,One year,No,Bank transfer (automatic)
1744-JHKYS,34,Month-to-month,No,Electronic check
2656-FMOKZ,15,Month-to-month,Yes,Mailed check
2070-FNEXE,7,Month-to-month,No,Bank transfer (automatic)
5947-SGKCL,15,Month-to-month,Yes,Bank transfer (automatic)
3712-PKXZA,61,One year,Yes,Credit card (automatic)
6317-YPKDH,1,Month-to-month,No,Bank transfer (automatic)
6582-OIVSP,1,Month-to-month,No,Mailed check
9367-WXLCH,8,Month-to-month,No,Bank transfer (automatic)
5524-KHNJP,33,One year,No,Credit card (automatic)
1918-ZBFQJ,13,Month-to-month,Yes,Electronic check
1024-GUALD,1,Month-to-month,Yes,Electronic check
4827-USJHP,20,Month-to-month,Yes,Mailed check
8167-GJLRN,3,Month-to-month,No,Electronic check
0956-SYCWG,13,One year,No,Electronic check
8017-UVSZU,40,Month-to-month,No,Credit card (automatic)
7100-FQPRV,43,One year,Yes,Credit card (automatic)
2472-OVKUP,6,Month-to-month,Yes,Electronic check
2984-RGEYA,69,Two year,No,Bank transfer (automatic)
9680-NIAUV,72,Two year,No,Credit card (automatic)
2146-EGVDT,59,Two year,No,Credit card (automatic)
2604-IJPDU,20,Month-to-month,Yes,Electronic check
9178-JHUVJ,24,Two year,Yes,Bank transfer (automatic)
6168-YBYNP,59,Month-to-month,Yes,Electronic check
7255-SSFBC,72,Two year,Yes,Bank transfer (automatic)
3645-DEYGF,1,Month-to-month,No,Mailed check
9323-HGFWY,27,One year,Yes,Credit card (automatic)
8544-GOQSH,14,Month-to-month,Yes,Credit card (automatic)
3363-DTIVD,71,Two year,No,Electronic check
7018-WBJNK,13,Month-to-month,Yes,Credit card (automatic)
9142-KZXOP,44,Month-to-month,No,Credit card (automatic)
7674-YTAFD,33,One year,Yes,Bank transfer (automatic)
6348-SNFUS,72,Two year,Yes,Credit card (automatic)
1285-OKIPP,1,Month-to-month,No,Electronic check
7825-ECJRF,19,Month-to-month,Yes,Electronic check
1347-KTTTA,64,One year,Yes,Credit card (automatic)
7841-TZDMQ,2,Month-to-month,Yes,Credit card (automatic)
4195-NZGTA,1,Month-to-month,No,Electronic check
7157-SMCFK,61,Two year,No,Mailed check
4709-LKHYG,29,One year,No,Electronic check
2504-DSHIH,23,Month-to-month,No,Electronic check
0699-NDKJM,57,Month-to-month,Yes,Bank transfer (automatic)
9286-BHDQG,72,Two year,No,Credit card (automatic)
0230-WEQUW,66,Two year,Yes,Bank transfer (automatic)
2040-LDIWQ,65,Two year,Yes,Bank transfer (automatic)
6496-JDSSB,8,Month-to-month,Yes,Bank transfer (automatic)
9408-SSNVZ,4,Month-to-month,Yes,Electronic check
4443-EMBNA,71,Two year,No,Bank transfer (automatic)
6469-MRVET,1,One year,Yes,Electronic check
0742-MOABM,4,Month-to-month,No,Mailed check
5961-VUSRV,12,One year,Yes,Bank transfer (automatic)
6778-JFCMK,24,One year,Yes,Mailed check
6341-JVQGF,31,One year,Yes,Mailed check
2232-DMLXU,1,Month-to-month,No,Mailed check
4811-JBUVU,30,Month-to-month,Yes,Credit card (automatic)
0945-TSONX,47,Two year,Yes,Credit card (automatic)
2651-ZCBXV,54,Two year,Yes,Credit card (automatic)
3316-UWXUY,50,Month-to-month,Yes,Credit card (automatic)
8937-RDTHP,1,Month-to-month,Yes,Mailed check
7083-MIOPC,72,Two year,No,Credit card (automatic)
1984-GPTEH,29,Month-to-month,No,Electronic check
1251-KRREG,2,Month-to-month,Yes,Mailed check
0621-JFHOL,10,Two year,Yes,Mailed check
9903-LYSAB,18,Month-to-month,Yes,Electronic check
0094-OIFMO,11,Month-to-month,Yes,Electronic check
9227-UAQFT,16,Two year,No,Mailed check
7301-ABVAD,72,Two year,No,Bank transfer (automatic)
6614-FHDBO,72,Two year,No,Bank transfer (automatic)
7576-ASEJU,41,One year,Yes,Credit card (automatic)
9058-HRZSV,65,Month-to-month,No,Electronic check
4522-AKYLR,13,Month-to-month,Yes,Electronic check
0221-WMXNQ,4,Month-to-month,No,Electronic check
0303-UNCIP,41,One year,No,Mailed check
9947-OTFQU,15,Month-to-month,Yes,Electronic check
0322-YINQP,1,Month-to-month,Yes,Mailed check
0959-WHOKV,42,One year,Yes,Electronic check
4075-JFPGR,51,One year,Yes,Electronic check
4629-NRXKX,2,Month-to-month,No,Electronic check
9514-JDSKI,1,Month-to-month,No,Electronic check
3282-ZISZV,32,One year,No,Credit card (automatic)
3675-YDUPJ,10,Month-to-month,Yes,Mailed check
4111-BNXIF,67,Two year,Yes,Electronic check
7017-VFHAY,61,Two year,No,Credit card (automatic)
6655-LHBYW,50,One year,No,Credit card (automatic)
4959-JOSRX,2,Month-to-month,Yes,Credit card (automatic)
5046-NUHWD,29,Month-to-month,Yes,Electronic check
7273-TEFQD,3,Month-to-month,Yes,Electronic check
3606-TWKGI,13,Month-to-month,Yes,Electronic check
7529-ZDFXI,57,Month-to-month,Yes,Electronic check
7605-BDWDC,31,Two year,Yes,Bank transfer (automatic)
1950-KSVVJ,45,One year,No,Mailed check
0123-CRBRT,61,Two year,No,Mailed check
6292-TOSSS,50,Two year,No,Bank transfer (automatic)
3197-ARFOY,19,Month-to-month,Yes,Mailed check
6323-AYBRX,59,Two year,No,Mailed check
7014-ZZXAW,71,Two year,Yes,Credit card (automatic)
4385-GZQXV,16,Month-to-month,Yes,Electronic check
7633-MVPUY,57,Two year,Yes,Electronic check
6366-ZGQGL,1,Month-to-month,No,Bank transfer (automatic)
4716-HHKQH,20,Month-to-month,No,Electronic check
5940-AHUHD,1,Month-to-month,No,Mailed check
6432-TWQLB,5,Month-to-month,Yes,Electronic check
4484-GLZOU,52,Month-to-month,Yes,Electronic check
3179-GBRWV,21,Month-to-month,Yes,Bank transfer (automatic)
8645-KWHJO,14,Month-to-month,Yes,Electronic check
4130-MZLCC,5,Month-to-month,No,Bank transfer (automatic)
0314-TKOSI,6,Month-to-month,No,Mailed check
8229-MYEJZ,10,Month-to-month,No,Electronic check
2080-SRCDE,1,Month-to-month,No,Mailed check
9577-WJVCQ,68,Month-to-month,No,Mailed check
9512-UIBFX,18,Month-to-month,No,Mailed check
6202-DYYFX,22,One year,Yes,Credit card (automatic)
3808-HFKDE,20,Month-to-month,Yes,Electronic check
5583-SXDAG,1,Month-to-month,No,Electronic check
3488-PGMQJ,8,Month-to-month,Yes,Electronic check
3580-REOAC,10,Month-to-month,Yes,Credit card (automatic)
7534-BFESC,24,Month-to-month,Yes,Electronic check
3727-OWVYD,35,One year,No,Mailed check
2294-SALNE,23,One year,No,Mailed check
4847-TAJYI,6,Month-to-month,Yes,Electronic check
1563-IWQEX,12,Month-to-month,No,Mailed check
8203-XJZRC,1,Month-to-month,No,Mailed check
6556-DBKZF,71,Two year,No,Electronic check
6851-WEFYX,35,Month-to-month,Yes,Electronic check
2985-JUUBZ,40,Month-to-month,Yes,Electronic check
6390-DSAZX,1,Month-to-month,Yes,Mailed check
0895-LMRSF,23,One year,Yes,Bank transfer (automatic)
8098-LLAZX,4,Month-to-month,Yes,Electronic check
8266-VBFQL,4,Month-to-month,Yes,Electronic check
8181-YHCMF,68,Two year,No,Credit card (automatic)
2240-HSJQD,38,Month-to-month,Yes,Mailed check
1248-DYXUB,52,Two year,No,Mailed check
0265-EDXBD,32,Month-to-month,Yes,Electronic check
4115-BNPJY,29,Two year,No,Mailed check
3167-SNQPL,38,Month-to-month,No,Electronic check
4091-TVOCN,48,One year,Yes,Credit card (automatic)
1098-TDVUQ,1,Month-to-month,Yes,Bank transfer (automatic)
7277-OZCGZ,22,Month-to-month,Yes,Electronic check
1557-EMYVT,43,Two year,No,Credit card (automatic)
2799-ARNLO,5,Month-to-month,Yes,Electronic check
7563-BIUPC,5,Month-to-month,Yes,Electronic check
5027-YOCXN,51,One year,No,Credit card (automatic)
3973-SKMLN,71,Two year,Yes,Credit card (automatic)
2321-OMBXY,38,One year,No,Credit card (automatic)
2840-XANRC,24,Month-to-month,Yes,Electronic check
6745-JEFZB,35,Month-to-month,Yes,Credit card (automatic)
5020-ZSTTY,54,One year,No,Bank transfer (automatic)
9880-TDQAC,72,Two year,Yes,Electronic check
8705-WZCYL,1,Month-to-month,Yes,Electronic check
7102-JJVTX,9,One year,No,Mailed check
8626-PTQGE,69,Two year,Yes,Bank transfer (automatic)
4983-CLMLV,52,Month-to-month,Yes,Credit card (automatic)
5701-YVSVF,11,Month-to-month,Yes,Electronic check
5804-LEPIM,2,Month-to-month,Yes,Electronic check
5697-GOMBF,28,Month-to-month,Yes,Electronic check
2739-CACDQ,17,Month-to-month,Yes,Credit card (automatic)
9385-EHGDO,35,Two year,Yes,Mailed check
9498-FIMXL,8,One year,Yes,Mailed check
2379-GYFLQ,46,One year,Yes,Credit card (automatic)
0122-OAHPZ,7,Month-to-month,Yes,Electronic check
2868-SNELZ,2,Month-to-month,No,Mailed check
4322-RCYMT,68,One year,Yes,Bank transfer (automatic)
6680-NENYN,43,Two year,Yes,Electronic check
2088-IEBAU,68,Two year,Yes,Electronic check
7982-VCELR,36,Month-to-month,Yes,Credit card (automatic)
1343-EHPYB,63,Month-to-month,Yes,Electronic check
6035-BXTTY,32,Month-to-month,No,Bank transfer (automatic)
6885-PKOAM,71,Two year,No,Credit card (automatic)
7520-HQWJU,66,Month-to-month,Yes,Bank transfer (automatic)
9639-BUJXT,63,One year,No,Mailed check
5924-SNGKP,41,One year,Yes,Credit card (automatic)
0021-IKXGC,1,Month-to-month,Yes,Electronic check
2034-GDRCN,2,Month-to-month,Yes,Electronic check
8966-SNIZF,70,Two year,No,Bank transfer (automatic)
6243-OZGFH,23,Month-to-month,Yes,Electronic check
4654-DLAMQ,64,One year,No,Bank transfer (automatic)
0513-RBGPE,37,Two year,Yes,Credit card (automatic)
5160-UXJED,17,One year,No,Mailed check
4115-NZRKS,7,Month-to-month,Yes,Electronic check
0219-YTZUE,4,Month-to-month,Yes,Bank transfer (automatic)
0623-IIHUG,21,Month-to-month,Yes,Electronic check
4572-DVCGN,10,Month-to-month,Yes,Bank transfer (automatic)
3351-NGXYI,16,Month-to-month,Yes,Electronic check
8984-EYLLL,64,Two year,Yes,Electronic check
9057-MSWCO,27,Month-to-month,No,Credit card (automatic)
9833-TGFHX,42,One year,No,Electronic check
9294-TDIPC,5,Month-to-month,No,Mailed check
5229-DTFYB,41,Two year,Yes,Bank transfer (automatic)
0104-PPXDV,58,One year,No,Credit card (automatic)
5176-LMJXE,47,Two year,Yes,Mailed check
3583-KRKMD,18,Month-to-month,Yes,Bank transfer (automatic)
1010-DIAUQ,5,Month-to-month,No,Bank transfer (automatic)
9069-LGEUL,23,Month-to-month,Yes,Bank transfer (automatic)
7302-ZHMHP,1,Month-to-month,No,Mailed check
9571-EDEBV,71,One year,Yes,Credit card (automatic)
3520-FJGCV,72,Two year,Yes,Credit card (automatic)
6563-VRERX,33,One year,No,Mailed check
0259-GBZSH,2,Month-to-month,Yes,Electronic check
6122-EFVKN,24,Two year,No,Mailed check
2805-EDJPQ,56,One year,Yes,Credit card (automatic)
6862-CQUMB,37,Month-to-month,Yes,Credit card (automatic)
7156-MXBJE,43,One year,No,Credit card (automatic)
6158-HDPXZ,1,Month-to-month,No,Mailed check
9601-BRXPO,25,Month-to-month,Yes,Bank transfer (automatic)
2863-IMQDR,61,Two year,No,Electronic check
5686-CMAWK,17,One year,No,Electronic check
5651-CRHKQ,41,One year,Yes,Bank transfer (automatic)
6905-NIQIN,1,Month-to-month,No,Mailed check
8204-YJCLA,72,Two year,Yes,Bank transfer (automatic)
5167-ZFFMM,1,Month-to-month,Yes,Credit card (automatic)
6583-SZVGP,48,Two year,Yes,Bank transfer (automatic)
4895-TMWIR,11,Month-to-month,No,Mailed check
0533-BNWKF,55,Month-to-month,Yes,Electronic check
1708-PBBOA,42,One year,Yes,Electronic check
8782-LKFPK,44,Month-to-month,Yes,Mailed check
5522-JBWMO,1,Month-to-month,No,Electronic check
3597-MVHJT,27,Month-to-month,Yes,Bank transfer (automatic)
9774-NRNAU,27,Month-to-month,Yes,Bank transfer (automatic)
0224-RLWWD,2,Month-to-month,Yes,Electronic check
9967-ATRFS,19,Month-to-month,No,Mailed check
3951-NJCVI,42,Month-to-month,Yes,Electronic check
2977-CEBSX,66,Two year,Yes,Credit card (automatic)
0177-PXBAT,33,Month-to-month,Yes,Bank transfer (automatic)
6599-CEBNN,34,Month-to-month,Yes,Credit card (automatic)
2519-ERQOJ,33,Month-to-month,Yes,Electronic check
5876-QMYLD,23,One year,No,Mailed check
2277-AXSDC,32,One year,No,Bank transfer (automatic)
9442-JTWDL,11,One year,No,Credit card (automatic)
0979-PHULV,69,Month-to-month,Yes,Credit card (automatic)
3067-SVMTC,68,One year,No,Bank transfer (automatic)
5495-GPSRW,20,Two year,Yes,Mailed check
7606-BPHHN,72,Two year,Yes,Credit card (automatic)
4742-DRORA,60,One year,Yes,Bank transfer (automatic)
0111-KLBQG,32,Month-to-month,Yes,Mailed check
4800-VHZKI,1,Month-to-month,Yes,Mailed check
7989-CHGTL,1,Month-to-month,Yes,Mailed check
0334-GDDSO,3,Month-to-month,Yes,Electronic check
4163-NCJAK,46,One year,Yes,Bank transfer (automatic)
5233-AOZUF,29,Month-to-month,Yes,Electronic check
5973-EJGDP,51,Month-to-month,Yes,Electronic check
1996-DBMUS,48,Month-to-month,Yes,Bank transfer (automatic)
7916-VCCPB,16,Month-to-month,No,Bank transfer (automatic)
4686-GEFRM,70,Two year,Yes,Bank transfer (automatic)
5249-QYHEX,40,Two year,Yes,Mailed check
0578-SKVMF,22,Month-to-month,No,Electronic check
5564-NEMQO,1,Month-to-month,Yes,Bank transfer (automatic)
2233-FAGXV,5,Month-to-month,Yes,Mailed check
5605-IYGFG,7,Month-to-month,Yes,Bank transfer (automatic)
7663-ZTEGJ,29,One year,No,Credit card (automatic)
3935-TBRZZ,44,One year,No,Mailed check
8111-BKVDS,10,Month-to-month,No,Bank transfer (automatic)
2055-SIFSS,55,Month-to-month,No,Bank transfer (automatic)
2806-MLNTI,52,One year,Yes,Bank transfer (automatic)
8734-DKSTZ,10,Month-to-month,No,Electronic check
4360-PNRQB,18,Month-to-month,Yes,Bank transfer (automatic)
6152-ONASV,68,One year,No,Bank transfer (automatic)
9063-ZGTUY,61,Month-to-month,Yes,Mailed check
7781-HVGMK,72,Two year,Yes,Credit card (automatic)
2181-UAESM,2,Month-to-month,No,Electronic check
2957-LOLHO,12,Month-to-month,Yes,Bank transfer (automatic)
6048-NJXHX,41,Two year,Yes,Electronic check
2320-SLKMB,26,Month-to-month,Yes,Credit card (automatic)
4980-URKXC,36,One year,No,Bank transfer (automatic)
4376-KFVRS,72,Two year,Yes,Credit card (automatic)
5886-VLQVU,35,Month-to-month,Yes,Bank transfer (automatic)
3577-AMVUX,1,Month-to-month,No,Mailed check
0771-WLCLA,16,Month-to-month,Yes,Electronic check
5628-RKIFK,49,Month-to-month,No,Credit card (automatic)
0206-TBWLC,54,One year,Yes,Mailed check
2937-FTHUR,18,Month-to-month,No,Electronic check
1910-FMXJM,36,Month-to-month,No,Electronic check
7752-XUSCI,60,Month-to-month,Yes,Electronic check
4110-PFEUZ,1,Month-to-month,No,Mailed check
0732-OCQOC,52,Two year,Yes,Bank transfer (automatic)
5168-MSWXT,8,Month-to-month,Yes,Electronic check
1090-ESELR,72,Two year,No,Bank transfer (automatic)
8592-PLTMQ,64,One year,No,Mailed check
5760-WRAHC,22,Month-to-month,Yes,Mailed check
8847-GEOOQ,60,Month-to-month,Yes,Bank transfer (automatic)
0256-LTHVJ,28,Month-to-month,Yes,Electronic check
4785-FCIFB,61,Two year,No,Mailed check
8313-NDOIA,24,Month-to-month,Yes,Electronic check
5149-CUZUJ,28,One year,No,Bank transfer (automatic)
0942-KOWSM,30,Two year,No,Bank transfer (automatic)
4237-CLSMM,2,Month-to-month,No,Mailed check
1452-VOQCH,1,Month-to-month,Yes,Electronic check
4719-UMSIY,6,Month-to-month,No,Mailed check
6614-VBEGU,24,Month-to-month,Yes,Bank transfer (automatic)
0880-TKATG,4,Month-to-month,No,Electronic check
3811-VBYBZ,7,Month-to-month,Yes,Electronic check
1480-BKXGA,72,Two year,Yes,Bank transfer (automatic)
2996-XAUVF,70,Two year,Yes,Mailed check
9076-AXYIK,64,Two year,No,Electronic check
5968-XQIVE,72,One year,Yes,Electronic check
8896-RAZCR,44,Two year,No,Mailed check
4640-UHDOS,13,Month-to-month,No,Electronic check
4933-IKULF,17,One year,No,Mailed check
3583-EKAPL,1,Month-to-month,Yes,Electronic check
1304-BCCFO,9,Month-to-month,Yes,Mailed check
4104-PVRPS,24,Month-to-month,No,Mailed check
9399-APLBT,1,Month-to-month,Yes,Electronic check
2359-KMGLI,24,Month-to-month,Yes,Electronic check
3780-DDGSE,35,Month-to-month,Yes,Electronic check
4431-EDMIQ,7,Month-to-month,Yes,Electronic check
0306-JAELE,5,Month-to-month,Yes,Electronic check
6227-HWPWX,15,Month-to-month,No,Bank transfer (automatic)
0486-LGCCH,11,Two year,No,Mailed check
0447-BEMNG,48,Month-to-month,Yes,Bank transfer (automatic)
4612-SSVHJ,20,Month-to-month,Yes,Electronic check
5168-MQQCA,72,One year,Yes,Bank transfer (automatic)
5949-XIKAE,8,Month-to-month,Yes,Electronic check
7971-HLVXI,72,Two year,Yes,Credit card (automatic)
9094-AZPHK,15,Month-to-month,Yes,Electronic check
3649-JPUGY,72,Two year,Yes,Bank transfer (automatic)
4472-LVYGI,0,Two year,Yes,Bank transfer (automatic)
8372-JUXUI,1,Month-to-month,Yes,Electronic check
3552-CTCYF,63,Two year,Yes,Bank transfer (automatic)
6778-YSNIH,2,Month-to-month,Yes,Electronic check
0388-EOPEX,2,Month-to-month,Yes,Electronic check
5756-OZRIO,61,One year,No,Bank transfer (automatic)
6579-JPICP,1,Month-to-month,No,Mailed check
8205-OTCHB,22,One year,Yes,Bank transfer (automatic)
4134-BSXLX,28,Month-to-month,No,Mailed check
0505-SPOOW,70,Two year,No,Bank transfer (automatic)
